time,concentration
5872.7363681840925,0.027853253417754697
5878.139069534768,0.02779989924996053
5883.541770885443,0.027746578336097446
5888.944472236119,0.027693291099132336
5894.347173586794,0.027640037958832638
5899.749874937469,0.02758681933178137
5905.152576288145,0.02753363563139047
5910.5552776388195,0.027480487267915743
5915.957978989495,0.02742737464847008
5921.360680340171,0.027374298177038455
5926.763381690846,0.02732125825449103
5932.166083041521,0.027268255278598125
5937.568784392197,0.02721528964404328
5942.971485742872,0.02716236174243811
5948.374187093547,0.027109471962335385
5953.776888444223,0.0270566206892438
5959.179589794898,0.027003808305640985
5964.582291145573,0.026951035190988275
5969.984992496248,0.02689830172174355
5975.387693846924,0.02684560827137607
5980.7903951975995,0.02679295521037922
5986.193096548274,0.02674034290628523
5991.59579789895,0.02668777172367793
5996.998499249626,0.02663524202420737
6002.4012006003,0.02658275416660255
6007.803901950976,0.026530308506685925
6013.206603301651,0.026477905397386155
6018.6093046523265,0.026425545188752432
6024.012006003002,0.02637322822796733
6029.414707353677,0.02632095485936089
6034.817408704353,0.026268725424423545
6040.220110055028,0.02621654026182005
6045.622811405703,0.026164399707402457
6051.025512756379,0.02611230409422384
6056.428214107054,0.02606025375255124
6061.830915457729,0.026008249009879466
6067.233616808405,0.02595629019094381
6072.63631815908,0.025904377617733794
6078.039019509755,0.02585251160950596
6083.441720860431,0.025800692482797368
6088.844422211106,0.025748920551438435
6094.247123561781,0.025697196126566357
6099.649824912457,0.025645519516637814
6105.052526263132,0.02559389102744242
6110.455227613807,0.025542310962115275
6115.857928964483,0.025490779621150376
6121.260630315158,0.02543929730241309
6126.6633316658335,0.02538786430115359
6132.066033016508,0.02533648091001909
6137.468734367184,0.025285147419067316
6142.87143571786,0.025233864115778687
6148.274137068534,0.025182631285069635
6153.67683841921,0.02513144920930482
6159.079539769886,0.025080318168310266
6164.4822411205605,0.025029238439385596
6169.884942471236,0.024978210297317026
6175.287643821912,0.024927234014389593
6180.690345172587,0.02487630986040005
6186.093046523262,0.02482543810266898
6191.495747873937,0.024774619006053693
6196.898449224613,0.024723852832960212
6202.301150575288,0.024673139843356093
6207.703851925963,0.024622480294782423
6213.106553276639,0.02457187444236646
6218.5092546273145,0.02452132253883359
6223.911955977989,0.024470824834519924
6229.314657328665,0.024420381577384187
6234.717358679341,0.024369993013020147
6240.120060030015,0.024319659384668565
6245.522761380691,0.024269380933229435
6250.925462731366,0.02421915789727395
6256.328164082041,0.024168990513056564
6261.730865432717,0.024118879014526994
6267.133566783392,0.024068823633342156
6272.5362681340675,0.02401882459887804
6277.938969484743,0.023968882138241665
6283.341670835418,0.02391899647628286
6288.744372186094,0.023869167835605998
6294.147073536769,0.023819396436581975
6299.549774887444,0.023769682497359623
6304.95247623812,0.02372002623387772
6310.3551775887945,0.023670427859876324
6315.75787893947,0.023620887586908678
6321.160580290146,0.023571405624352473
6326.563281640821,0.023521982179421738
6331.965982991496,0.023472617457177897
6337.368684342172,0.023423311660541762
6342.771385692847,0.023374064990304297
6348.174087043522,0.02332487764513874
6353.576788394197,0.023275749821611142
6358.979489744873,0.02322668171419251
6364.3821910955485,0.0231776735152692
6369.784892446223,0.023128725415155014
6375.187593796899,0.023079837602101527
6380.590295147575,0.02303101026231008
6385.992996498249,0.022982243579942052
6391.395697848925,0.022933537737130763
6396.798399199601,0.022884892913991657
6402.201100550275,0.02283630928863417
6407.603801900951,0.02278778703717178
6413.006503251626,0.022739326333733854
6418.4092046023015,0.02269092735047556
6423.811905952977,0.0226425902575897
6429.214607303652,0.022594315223316494
6434.617308654328,0.022546102413955372
6440.020010005003,0.022497951993874638
6445.422711355678,0.022449864125523248
6450.825412706354,0.022401838969440313
6456.228114057029,0.022353876684266867
6461.630815407704,0.02230597742675531
6467.03351675838,0.02225814135178097
6472.436218109055,0.022210368612351646
6477.83891945973,0.02216265935961897
6483.241620810406,0.0221150137428879
6488.644322161081,0.022067431909628003
6494.047023511756,0.02201991400548292
6499.449724862432,0.02197246017428151
6504.852426213107,0.02192507055804723
6510.2551275637825,0.021877745297009286
6515.657828914458,0.021830484529611845
6521.060530265133,0.02178328839252514
6526.463231615809,0.021736157020654647
6531.865932966483,0.021689090547152037
6537.268634317159,0.021642089103424335
6542.671335667835,0.021595152819144783
6548.074037018509,0.02154828182226187
6553.476738369185,0.021501476239010227
6558.879439719861,0.021454736193919473
6564.2821410705355,0.02140806180982509
6569.684842421211,0.02136145320787717
6575.087543771887,0.021314910507551223
6580.490245122562,0.021268433826656857
6585.892946473237,0.02122202328134851
6591.295647823912,0.02117567898613399
6596.698349174588,0.021129401053885243
6602.101050525263,0.02108318959584674
6607.503751875938,0.02103704472164617
6612.906453226614,0.02099096653930278
6618.3091545772895,0.020944955155238004
6623.711855927964,0.02089901067428364
6629.11455727864,0.020853133199692547
6634.517258629315,0.020807322833146583
6639.91995997999,0.020761579674767397
6645.322661330666,0.02071590382312414
6650.725362681341,0.02067029537524425
6656.1280640320165,0.020624754426621116
6661.530765382692,0.020579281071224746
6666.933466733367,0.02053387540150935
6672.336168084043,0.020488537508423967
6677.738869434718,0.020443267481419954
6683.141570785393,0.02039806540846151
6688.544272136069,0.020352931376033164
6693.946973486743,0.020307865469150164
6699.349674837419,0.020262867771365906
6704.752376188095,0.020217938364782244
6710.15507753877,0.020173077330056875
6715.557778889445,0.020128284746413514
6720.960480240121,0.020083560691649304
6726.363181590796,0.020038905242144803
6731.765882941471,0.019994318472871378
6737.168584292147,0.019949800457401145
6742.571285642822,0.019905351267914262
6747.973986993497,0.01986097097520875
6753.376688344172,0.019816659648707796
6758.779389694848,0.019772417356469466
6764.1820910455235,0.0197282441651939
6769.584792396198,0.019684140140233022
6774.987493746874,0.019640105345597587
6780.39019509755,0.019596139843966905
6785.792896448224,0.019552243696695715
6791.1955977989,0.01950841696382394
6796.598299149576,0.019464659704083398
6802.0010005002505,0.019420971974907556
6807.403701850926,0.019377353832438122
6812.806403201601,0.019333805331534767
6818.209104552277,0.0192903265257816
6823.611805902952,0.019246917467496877
6829.014507253627,0.019203578207739335
6834.417208604303,0.019160308796317926
6839.819909954978,0.019117109281797936
6845.222611305653,0.01907397971151081
6850.625312656329,0.019030920131560096
6856.0280140070045,0.018987930586831243
6861.430715357679,0.018945011120997446
6866.833416708355,0.018902161776529418
6872.23611805903,0.018859382594701088
6877.638819409705,0.018816673615599428
6883.041520760381,0.018774034878129932
6888.444222111056,0.018731466420026505
6893.846923461731,0.018688968277856797
6899.249624812407,0.018646540487032036
6904.652326163082,0.018604183081812345
6910.0550275137575,0.018561896095316402
6915.457728864432,0.018519679559526797
6920.860430215108,0.01847753350529956
6926.263131565784,0.018435457962369468
6931.665832916458,0.018393452959359523
6937.068534267134,0.018351518523786154
6942.47123561781,0.01830965468206865
6947.8739369684845,0.0182678614595343
6953.27663831916,0.01822613888042776
6958.679339669836,0.01818448696791612
6964.082041020511,0.018142905744098166
6969.484742371186,0.018101395230009473
6974.887443721861,0.018059955445631503
6980.290145072537,0.018018586409896703
6985.692846423212,0.01797728814069749
6991.095547773887,0.017936060654891315
6996.498249124563,0.01789490396830955
7001.9009504752385,0.01785381809576255
7007.303651825913,0.017812803051048386
7012.706353176589,0.017771858846957922
7018.109054527265,0.01773098549528342
7023.511755877939,0.017690183006823606
7028.914457228615,0.01764945139139216
7034.31715857929,0.017608790657822792
7039.719859929965,0.017568200813977575
7045.122561280641,0.01752768186675203
7050.525262631316,0.01748723382208336
7055.9279639819915,0.01744685668495546
7061.330665332667,0.017406550459407154
7066.733366683342,0.017366315148537054
7072.136068034018,0.017326150754511813
7077.538769384693,0.01728605727857085
7082.941470735368,0.017246034721034604
7088.344172086044,0.017206083081309137
7093.7468734367185,0.017166202357894393
7099.149574787394,0.0171263925483887
7104.55227613807,0.01708665364949694
7109.954977488745,0.017046985657035035
7115.35767883942,0.01700738856593807
7120.760380190096,0.016967862370264673
7126.163081540771,0.016928407063205076
7131.565782891446,0.016889022637085464
7136.968484242122,0.01684970908337595
7142.371185592797,0.01681046639269494
7147.7738869434725,0.016771294554816896
7153.176588294147,0.01673219355867679
7158.579289644823,0.016693163392377742
7163.981990995499,0.016654204043195397
7169.384692346173,0.016615315497585537
7174.787393696849,0.01657649774118843
7180.190095047525,0.016537750758836272
7185.592796398199,0.0164990745345576
7190.995497748875,0.01646046905158461
7196.398199099551,0.01642193429235752
7201.8009004502255,0.016383470238531837
7207.203601800901,0.016345076870982658
7212.606303151576,0.016306754169811907
7218.009004502252,0.016268502114352507
7223.411705852927,0.016230320683175647
7228.814407203602,0.016192209854094836
7234.217108554278,0.01615416960417314
7239.619809904953,0.016116199909727187
7245.022511255628,0.016078300746334293
7250.425212606304,0.016040472088836487
7255.827913956979,0.01600271391134753
7261.230615307654,0.015965026187256898
7266.63331665833,0.015927408889236754
7272.036018009005,0.01588986198924587
7277.43871935968,0.01585238545853652
7282.841420710356,0.015814979267658395
7288.244122061031,0.015777643386465406
7293.6468234117065,0.015740377784119537
7299.049524762382,0.015703182429097635
7304.452226113057,0.015666057289195144
7309.854927463733,0.015629002331532926
7315.257628814407,0.01559201752256086
7320.660330165083,0.015555102828064682
7326.063031515759,0.015518258213169442
7331.465732866433,0.01548148364234638
7336.868434217109,0.01544477907941627
7342.271135567785,0.015408144487556282
7347.6738369184595,0.015371579829303244
7353.076538269135,0.015335085066560464
7358.479239619811,0.01529866016060092
7363.881940970486,0.015262305072074094
7369.284642321161,0.015226019761009037
7374.687343671836,0.015189804186821166
7380.090045022512,0.015153658308315306
7385.492746373187,0.015117582083692424
7390.895447723862,0.015081575470552593
7396.298149074538,0.01504563842590174
7401.7008504252135,0.01500977090615446
7407.103551775888,0.014973972867140821
7412.506253126564,0.014938244264109045
7417.90895447724,0.014902585051732316
7423.311655827914,0.014866995184111356
7428.71435717859,0.014831474614781263
7434.117058529265,0.014796023296713957
7439.5197598799405,0.014760641182325014
7444.922461230616,0.014725328223476039
7450.325162581291,0.014690084371481487
7455.727863931967,0.014654909577110955
7461.130565282642,0.014619803790595933
7466.533266633317,0.014584766961632129
7471.935967983993,0.014549799039386076
7477.338669334668,0.01451489997249748
7482.741370685343,0.014480069709085733
7488.144072036019,0.014445308196752245
7493.5467733866935,0.014410615382586891
7498.949474737369,0.014375991213170307
7504.352176088045,0.01434143563458027
7509.75487743872,0.014306948592393978
7515.157578789395,0.014272530031694352
7520.560280140071,0.014238179897072299
7525.962981490746,0.014203898132632939
7531.365682841421,0.014169684681997842
7536.768384192096,0.014135539488311193
7542.171085542772,0.01410146249424201
7547.5737868934475,0.014067453641990222
7552.976488244122,0.0140335128732889
7558.379189594798,0.013999640129410199
7563.781890945474,0.013965835351167664
7569.184592296148,0.013932098478922008
7574.587293646824,0.013898429452583478
7579.9899949975,0.013864828211617488
7585.3926963481745,0.013831294695047028
7590.79539769885,0.013797828841458205
7596.198099049525,0.013764430589002606
7601.600800400201,0.013731099875402825
7607.003501750876,0.013697836637954779
7612.406203101551,0.013664640813533115
7617.808904452227,0.013631512338593641
7623.211605802902,0.0135984511491785
7628.614307153577,0.01356545718091873
7634.017008504253,0.01353253036903926
7639.419709854928,0.01349967064836151
7644.822411205603,0.013466877953308346
7650.225112556279,0.013434152217906557
7655.627813906954,0.013401493375791863
7661.030515257629,0.013368901360211289
7666.433216608305,0.013336376104028179
7671.83591795898,0.013303917539724465
7677.238619309655,0.013271525599405705
7682.641320660331,0.013239200214803279
7688.044022011006,0.013206941317279376
7693.4467233616815,0.013174748837829183
7698.849424712357,0.013142622707085784
7704.252126063032,0.013110562855322352
7709.654827413708,0.013078569212456993
7715.057528764382,0.013046641708054897
7720.460230115058,0.013014780271333137
7725.862931465734,0.012982984831162782
7731.2656328164085,0.012951255316073662
7736.668334167084,0.012919591654256438
7742.07103551776,0.012887993773567342
7747.473736868435,0.012856461601530167
7752.87643821911,0.012824995065341021
7758.279139569786,0.012793594091870239
7763.681840920461,0.012762258607667113
7769.084542271136,0.012730988538961787
7774.487243621811,0.012699783811669885
7779.889944972487,0.012668644351394432
7785.292646323162,0.012637570083430447
7790.695347673837,0.012606560932766762
7796.098049024513,0.012575616824090634
7801.5007503751885,0.0125447376817895
7806.903451725863,0.012513923429955588
7812.306153076539,0.012483173992387572
7817.708854427215,0.012452489292595202
7823.111555777889,0.0124218692538009
7828.514257128565,0.012391313798944363
7833.91695847924,0.012360822850684097
7839.3196598299155,0.01233039633140203
7844.722361180591,0.01230003416320495
7850.125062531266,0.012269736267929135
7855.527763881942,0.012239502567141736
7860.930465232617,0.012209332982145365
7866.333166583292,0.012179227433979452
7871.735867933968,0.012149185843424769
7877.1385692846425,0.012119208131004826
7882.541270635318,0.01208929421699027
7887.943971985994,0.012059444021400292
7893.346673336669,0.012029657464007004
7898.749374687344,0.01199993446433678
7904.15207603802,0.011970274941674611
7909.554777388695,0.01194067881506542
7914.95747873937,0.01191114600331839
7920.360180090046,0.011881676425008194
7925.762881440721,0.01185226999847937
7931.165582791396,0.011822926641847446
7936.568284142071,0.011793646273003309
7941.970985492747,0.011764428809614324
7947.373686843423,0.011735274169128623
7952.776388194097,0.011706182268776209
7958.179089544773,0.011677153025573235
7963.581790895449,0.011648186356323038
7968.984492246123,0.011619282177620406
7974.387193596799,0.011590440405852586
7979.789894947475,0.011561660957203507
7985.1925962981495,0.011532943747654751
7990.595297648825,0.01150428869298976
7995.9979989995,0.01147569570879477
8001.400700350176,0.011447164710462967
8006.803401700851,0.011418695613195428
8012.206103051526,0.011390288332005215
8017.608804402202,0.011361942781718294
8023.011505752877,0.011333658876977596
8028.414207103552,0.011305436532243916
8033.816908454228,0.011277275661799924
8039.2196098049035,0.011249176179751052
8044.622311155578,0.011221138000029463
8050.025012506254,0.011193161036394913
8055.427713856929,0.011165245202438705
8060.830415207604,0.011137390411584461
8066.23311655828,0.011109596577092143
8071.635817908955,0.011081863612058705
8077.03851925963,0.011054191429422142
8082.441220610306,0.011026579941962074
8087.843921960981,0.010999029062303812
8093.246623311657,0.010971538702918858
8098.649324662332,0.010944108776128978
8104.052026013007,0.010916739194106682
8109.454727363683,0.010889429868879221
8114.857428714357,0.01086218071232909
8120.260130065033,0.010834991636197966
8125.662831415709,0.010807862552087195
8131.0655327663835,0.010780793371461697
8136.468234117059,0.010753784005650434
