0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
7.9616791843409365,3.3735349718265972,0.8914494242481777,0.16863256404676386,0.024844520491452082,0.00301319900282808,0.0003127722387961222,2.859326230144878e-05,2.3527829881237505e-06,1.7722602881691738e-07,1.2385371954008033e-08,8.116777362936521e-10,5.031871869190016e-11,2.971971891045821e-12,1.6822612948412807e-13,9.171021629209949e-15,4.835276123186073e-16,2.4742007849952082e-17,1.2324439477459994e-18,5.991615449109078e-20,2.849312852209413e-21,1.3280208208197884e-22,6.076894435554998e-24,2.734166399854066e-25,1.2111928468918668e-26,5.288843790901356e-28,2.2789022740933514e-29,9.698836830788837e-31,4.110120742087604e-32,4.1101207420876036e-32
8.01232646647238,3.6291139690165317,1.0433547609468579,0.215955934998445,0.0348543826283451,0.004625995408616512,0.0005242616524703508,5.216625616244974e-05,4.655834967285897e-06,3.789999568632406e-07,2.851774214784393e-08,2.00502737330693e-09,1.328918207783423e-10,8.364252168204516e-12,5.029887755179011e-13,2.904837075240453e-14,1.6181072799315646e-15,8.726247775154924e-17,4.5705417983707525e-18,2.331443640047101e-19,1.1610204265528553e-20,5.65616283633767e-22,2.700659348613144e-23,1.265868154632554e-24,5.833144814138637e-26,2.6458722603798287e-27,1.182725296902178e-28,5.215485548119235e-30,2.2879566876613887e-31,2.2879566876613887e-31
8.06023896886404,3.87095409217829,1.2000585653986602,0.26942348767573826,0.047244797642195656,0.00681028183318808,0.0008369440718263254,9.010263163230776e-05,8.676939350811573e-06,7.598859636166311e-07,6.132572044671739e-08,4.610476649046731e-09,3.257856943800509e-10,2.179857136403215e-11,1.389775013739143e-12,8.487422240810402e-14,4.987439528854375e-15,2.8309211850218136e-16,1.5573071173594413e-17,8.3267201838251695e-19,4.338340021045949e-20,2.207419399740001e-21,1.0990188018342523e-22,5.36332684108888e-24,2.569441095038087e-25,1.2100765870395623e-26,5.609049023811512e-28,2.5618130483739034e-29,1.1629683309867172e-30,1.1629683309867172e-30
8.105592095427482,4.0999327842146025,1.3604678182709264,0.32887899161790324,0.06222180724966608,0.009677985968000652,0.0012820828619204466,0.00014853500678704671,1.536078037211727e-05,1.4411862466954085e-06,1.242934661607534e-07,9.960304398294452e-09,7.482952296702881e-10,5.310080251124586e-11,3.5818291167872046e-12,2.308998241084985e-13,1.429097733000956e-14,8.526054931449965e-16,4.920175692384514e-17,2.754643188064452e-18,1.50018978079487e-19,7.965805202939497e-21,4.132428493560836e-22,2.098276147660629e-23,1.0444915091801105e-24,5.104592908407225e-26,2.4524245248705056e-27,1.1596262189997632e-28,5.4455577494143075e-30,5.4455577494143075e-30
8.148548323727383,4.316863067895123,1.5236181452151873,0.39411672055479624,0.07996676218979654,0.013345171346961863,0.0018957329209338075,0.00023522431616063996,2.6010398386553544e-05,2.6043800794015074e-06,2.39211518350857e-07,2.0371277080918172e-08,1.6228622720558103e-09,1.218516472285062e-10,8.678324061519184e-12,5.894725640553752e-13,3.836666706119016e-14,2.402556416361463e-15,1.452646816762674e-16,8.506658983544378e-18,4.837861247382531e-19,2.678474367535782e-20,1.446728531519273e-21,7.637934568353297e-23,3.9481172639480206e-24,2.0011929733849222e-25,9.960150041600994e-27,4.873683780367974e-28,2.3665227690439396e-29,2.366522769043939e-29
8.189258262755304,4.522498788365094,1.6886602570781204,0.4648922035465858,0.1006354427718812,0.017930253737988795,0.0027186120102588827,0.00035973575545137276,4.236706391641951e-05,4.511252180753123e-06,4.3988723953266397e-07,3.9696623887404626e-08,3.3448759118894297e-09,2.651396409641175e-10,1.9898194295668183e-11,1.42161687030323e-12,9.715031763154707e-14,6.376649063228868e-15,4.034552928380411e-16,2.4684817136077806e-17,1.4645715038501034e-18,8.447206939375571e-20,4.746724287126747e-21,2.603794348055507e-22,1.3967394782907778e-23,7.338491583192436e-25,3.781809407779129e-26,1.914056877628962e-27,9.606216010116819e-29,9.606216010116819e-29
8.227861614682089,4.717539396505632,1.8548477863671897,0.5409314067719685,0.12435783335060756,0.023552310617123484,0.0037958769479812466,0.0005335921467590236,6.669469668039887e-05,7.527638942274094e-06,7.769364310937216e-07,7.409913590706929e-08,6.588069074621625e-09,5.501240095427326e-10,4.342051792239471e-11,3.2572749361634566e-12,2.333543778277296e-13,1.603217635560192e-14,1.0601667568157592e-15,6.769588298426292e-17,4.185974631558375e-18,2.5129198169034037e-19,1.467879612541863e-20,8.360084653442476e-22,4.6508043330842245e-23,2.5313536587272496e-24,1.3499769253069815e-25,7.063684307197198e-27,3.662516657479919e-28,3.6625166574799185e-28
8.26448805296621,4.902634315461794,2.021526376084749,0.6219385468011425,0.15123841483159148,0.030329511865159423,0.005176817821006307,0.0007704009787260523,0.00010186704553574383,1.2150767403570042e-05,1.3238013060051089e-06,1.3310045445480584e-07,1.2458215484212536e-08,1.093633878363198e-09,9.061370927782124e-11,7.125496250843143e-12,5.343425101099542e-13,3.8373609984995813e-14,2.6488644399414995e-15,1.7632760060929973e-16,1.1352042266725898e-17,7.086682689875078e-19,4.29962373054334e-20,2.5405994844019883e-21,1.4647714639717055e-22,8.253954565783067e-24,4.552752261705543e-25,2.4615440649092074e-26,1.3179722480454557e-27,1.3179722480454555e-27
0.15737519365957414,4.829337192799694,2.180505780525193,0.7073696837135764,0.18134973289332,0.03837747225351297,0.006914477145504173,0.001085952240616151,0.00015145577058088723,1.9040053796345563e-05,2.1841253115123474e-06,2.309662226482247e-07,2.271045111863246e-08,2.091731032294211e-09,1.8161068679389257e-10,1.4945857476527526e-11,1.1714662126057461e-12,8.782124523413543e-14,6.320426640851885e-15,4.381295727260031e-16,2.9338828682504267e-17,1.9028540830115806e-18,1.1981495843290099e-19,7.33967438704873e-21,4.382581502992358e-22,2.555164080382263e-23,1.456872560202695e-24,8.13499248299348e-26,4.495725797323113e-27,4.495725797323112e-27
0.9879512483187594,4.540430868075248,2.3178878660298015,0.7960451130888556,0.21470762914437372,0.04780676394623191,0.009065170974188793,0.0014982838650624043,0.00021981751534239988,2.905112410279815e-05,3.5005952088918884e-06,3.88490016083226e-07,4.0048223562090644e-08,3.862977279547656e-09,3.5085893739910515e-10,3.0171287494090435e-11,2.4682484446721293e-12,1.9290838870809369e-13,1.445781129611015e-14,1.0425199858702542e-15,7.254078978013195e-17,4.8836807994834444e-18,3.1886976229151686e-19,2.023541787370335e-20,1.2505059444103058e-21,7.538710431005322e-23,4.440575546909603e-24,2.5594461220245876e-25,1.4592233501173447e-26,1.4592233501173447e-26
