zone,object,component,index,concentration
1,1,1,97,6.792980100792124e-16
1,1,1,98,7.712903612397085e-16
1,1,1,99,3.048608647221322e-14
2,0,0,0,0.03342731618831694
2,0,0,1,0.033526493429314186
2,0,0,2,0.033625932354606744
2,0,0,3,0.03372563354213622
2,0,0,4,0.033825597570489814
2,0,0,5,0.033925825019186125
2,0,0,6,0.034026316468664185
2,0,0,7,0.034127072500284385
2,0,0,8,0.03422809369632892
2,0,0,9,0.03432938064000229
2,0,0,10,0.03443093391543175
2,0,0,11,0.034532754107667735
2,0,0,12,0.03463484180268448
2,0,0,13,0.034737197587380364
2,0,0,14,0.034839822049578396
2,0,0,15,0.03494271577802668
2,0,0,16,0.035045879362398925
2,0,0,17,0.03514931339329484
2,0,0,18,0.03525301846224068
2,0,0,19,0.03535699516168957
2,0,1,0,-2.89428030508959e-14
2,0,1,1,1.983467192299628e-15
2,0,1,2,7.417343363764219e-16
2,0,1,3,8.017105132949832e-16
2,0,1,4,8.091312496791438e-16
2,0,1,5,8.187947250146338e-16
2,0,1,6,8.284850388411332e-16
2,0,1,7,8.382932348079843e-16
2,0,1,8,8.482170282115589e-16
2,0,1,9,8.582579270355422e-16
2,0,1,10,8.684173023892527e-16
2,0,1,11,8.7869654770086715e-16
2,0,1,12,8.890970724719463e-16
2,0,1,13,8.996203027282894e-16
2,0,1,14,9.102676812021449e-16
2,0,1,15,9.210406675276162e-16
2,0,1,16,9.319407384378945e-16
2,0,1,17,9.429693879647984e-16
2,0,1,18,9.541281276406375e-16
2,0,1,19,9.654184867024166e-16
2,1,0,0,0.04478606186773315
2,1,0,1,0.04987292164839172
2,1,0,2,0.055414678340678244
2,1,0,3,0.06144020037270489
2,1,0,4,0.06797927762712944
2,1,0,5,0.07506259237127479
2,1,0,6,0.08272168526575467
2,1,0,7,0.0909889161386225
2,1,0,8,0.09989741921395247
2,1,0,9,0.10948105249365869
2,1,0,10,0.11977434100977492
2,1,0,11,0.13081241369163998
2,1,0,12,0.14263093362859067
2,1,0,13,0.15526602155366512
2,1,0,14,0.16875417242709448
2,1,0,15,0.1831321650594115
2,1,0,16,0.19843696478199413
2,1,0,17,0.2147056192468257
2,1,0,18,0.23197514751600878
2,1,0,19,0.2502824226838577
2,1,0,20,0.2696640483588201
2,1,0,21,0.29015622941759617
2,1,0,22,0.31179463752812775
2,1,0,23,0.33461427202016303
2,1,0,24,0.358649316760342
2,1,0,25,0.3839329937617651
2,1,0,26,0.4104974143244387
2,1,0,27,0.43837342856156214
2,1,0,28,0.46759047421608935
2,1,0,29,0.4981764257113426
2,1,0,30,0.5301574444077194
2,1,0,31,0.5635578310538999
2,1,0,32,0.5983998814248245
2,1,0,33,0.6347037461295422
2,1,0,34,0.6724872955496118
2,1,0,35,0.7117659908328718
2,1,0,36,0.7525527618183142
2,1,0,37,0.7948578927057735
2,1,0,38,0.838688916209696
2,1,0,39,0.8840505168504346
2,1,0,40,0.9309444439401685
2,1,0,41,0.9793694347152592
2,1,0,42,1.0293211479541582
2,1,0,43,1.080792108302018
2,1,0,44,1.1337716614018003
2,1,0,45,1.1882459398098102
2,1,0,46,1.2441978395535709
2,1,0,47,1.30160700707478
2,1,0,48,1.3604498361927457
2,1,0,49,1.4206994746271813
2,1,0,50,1.4823258395365473
2,1,0,51,1.5452956414620933
2,1,0,52,1.609572416021213
2,1,0,53,1.6751165626686941
2,1,0,54,1.7418853898431115
2,1,0,55,1.809833165839144
2,1,0,56,1.8789111747956826
2,1,0,57,1.9490677772642886
2,1,0,58,2.020248474921872
2,1,0,59,2.092395979113697
2,1,0,60,2.1654502830553577
2,1,0,61,2.2393487376815626
2,1,0,62,2.3140261313011763
2,1,0,63,2.3894147733964615
2,1,0,64,2.4654445830843263
2,1,0,65,2.5420431829317485
2,1,0,66,2.6191359989795817
2,1,0,67,2.6966463679719954
2,1,0,68,2.7744956529046827
2,1,0,69,2.85260336808775
2,1,0,70,2.9308873149611583
2,1,0,71,3.009263729895273
2,1,0,72,3.0876474451493
2,1,0,73,3.1659520640377172
2,1,0,74,3.244090151157742
2,1,0,75,3.3219734382399473
2,1,0,76,3.3995130457658886
2,1,0,77,3.4766197198873776
2,1,0,78,3.5532040832637874
2,1,0,79,3.6291768969837945
2,1,0,80,3.704449328342258
2,1,0,81,3.778933215132728
2,1,0,82,3.8525413098749306
2,1,0,83,3.925187474422384
2,1,0,84,3.996786771928891
2,1,0,85,4.067255360513034
2,1,0,86,4.136510015358819
2,1,0,87,4.2044669647789705
2,1,0,88,4.271039469075611
2,1,0,89,4.336133105146377
2,1,0,90,4.3996368757159185
2,1,0,91,4.461406735687245
2,1,0,92,4.521235373037175
2,1,0,93,4.578797118152749
2,1,0,94,4.6335479296079685
2,1,0,95,4.684544381738305
2,1,0,96,4.730116867928192
2,1,0,97,4.7672808727098355
2,1,0,98,4.790678442011281
2,1,0,99,4.790678442011128
2,1,1,0,4.1522232056665335e-15
2,1,1,1,6.827263887635957e-15
2,1,1,2,1.1068191940232431e-14
2,1,1,3,1.773021725337349e-14
2,1,1,4,2.811079833892415e-14
2,1,1,5,4.416818295932681e-14
2,1,1,6,6.884376876601439e-14
2,1,1,7,1.0653587931511184e-13
2,1,1,8,1.6379364836646669e-13
2,1,1,9,2.503298470191099e-13
2,1,1,10,3.804944174216487e-13
2,1,1,11,5.754114277661429e-13
2,1,1,12,8.66068429167878e-13
2,1,1,13,1.297768901416334e-12
